,FC,N,H,Cl,Br,I,P,F,Se,Si,S_sp3,S_sp2,S_sp,C_sp3,C_sp2,C_sp,N_sp3,N_sp2,N_sp,O_sp3,O_sp2,O_sp,I1,I2,I3,SV
2709,0.0,216.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,2061.41733913817,7973.037255186481,9333.84736366348,
2710,0.0,206.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1636.9242683617047,5664.864011559352,6973.232190526118,
2711,0.0,144.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,636.2645396402256,3826.1079351398344,4157.1790524122,
2713,0.0,162.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1724.8025706991589,1818.829625472317,3056.0688221027945,
2714,0.0,76.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,188.17137628675346,578.785230574084,660.3028409358997,
2715,0.0,160.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,522.5804125794222,7317.783423954407,7670.133699088586,
2716,0.0,140.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1081.5807786113514,2077.133725955192,2662.6132973703443,
2717,0.0,172.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,699.0439230814306,3652.2782731227917,3952.5500332451297,
2718,0.0,156.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,452.09401606913366,2040.2165876836639,2190.1260847826056,
2719,0.0,186.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,1184.5206401814878,8045.979804694134,8914.324301980607,
2720,0.0,176.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,5.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,853.9869235139815,5351.843434599023,5919.300175621608,
2722,0.0,146.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1291.865015632176,1983.1093734826484,2726.5585678364,
2723,0.0,142.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,703.9824760076976,2264.716892850713,2494.6620626635086,
2724,0.0,134.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,173.9248951245159,1676.5859879594532,1818.4492509298686,
2725,0.0,176.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,9.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1279.6248064355013,3288.473805401165,3656.9300518812765,
2726,0.0,74.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,129.4277098629508,888.429010149095,937.9722145003891,
2727,0.0,132.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1118.067348906475,1333.1297087290106,1791.3637240907483,
2728,0.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,419.6622548314146,659.4028202516439,1038.9140254154192,
2729,0.0,140.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,572.6692893019896,3400.6693702191615,3785.4197169922827,
2730,0.0,168.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,11.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1325.3526162961764,4772.290821815995,5680.753971281095,
2731,0.0,230.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,2538.678538777995,5670.934073914956,6747.342711405465,
2732,0.0,116.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,516.9880479648683,1151.4432545466461,1302.637659845486,
2733,0.0,180.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1810.271348366653,3548.3099525435605,4538.084506451012,
2734,0.0,234.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,2354.659673665823,7398.189182470827,8132.110342339354,
2735,0.0,258.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,5.0,0.0,0.0,6.0,1.0,0.0,2336.332508967461,8703.811429483652,10616.829091727175,
2736,0.0,160.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1862.3635665614404,2374.3714149397088,4114.772030021608,
2737,0.0,156.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,13.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,375.6766272800825,5773.91008222675,6049.6908815216675,
2739,0.0,314.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,2019.1141781705417,15042.373999013113,15456.64762415909,
2740,0.0,182.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,814.6753313264852,3929.89446472465,4146.264965548193,
2741,0.0,174.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1438.764056067784,4766.839827629867,5806.635679465855,
2742,0.0,182.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1244.3710063440385,9178.078238762331,9647.93079571634,
2743,0.0,116.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,393.18093938545195,1712.3905956239348,1894.7606856063696,
2744,0.0,148.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,744.1260141589318,2817.638665902411,3013.074545036168,
2745,0.0,286.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,1774.872036519777,15315.816640722458,16142.892879909961,
2746,0.0,152.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,680.6669684923053,3112.2851254208335,3719.5616723838725,
2747,0.0,168.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1197.7359761034986,3153.837307865938,3802.2567497411796,
2748,0.0,152.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,865.6732544062417,2874.4752333125903,3068.8060570027083,
2749,0.0,152.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1257.5144265522563,2155.245470015054,3290.3601613554265,
2751,0.0,154.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1678.5624807152574,1797.4391324811868,3217.1213593867974,
2752,0.0,162.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,711.3533120725604,3146.158824959439,3395.7930659333992,808.0
2753,0.0,66.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,192.5905534157669,336.3778816868402,522.5042539152455,
2755,0.0,76.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,244.106314263039,438.7459250456136,682.8522393020447,
2756,0.0,134.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,902.7568309098548,1374.0647257362857,2125.1250428023004,
